. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
2.1e-05,0.154672861,0.912088871,1.051867962,1.703870058,1.867156029,0.504081011,0.63686204,0.360069036,0.506736994,2.023862839,1.870041847,1.951906919,1.52798295,1.667593002,1.296188831,1.431930065,0.158285856,0.287744045,0.20178318,0.144011975,0.40800786,0.38409996,0.231794119,0.175887108,0.166171789,0.153820992,0.133071184,0.218992949,0.130125046,0.415005922,0.380062103,0.235662937,0.199563027,0.08475089
2.1e-05,0.189127922,0.99209094,1.119813919,1.568956852,1.687927961,0.455250025,0.631922007,0.327752829,0.439749956,1.839464903,1.70174098,1.799691916,1.418728828,1.559885025,1.288102865,1.435549974,0.168021917,0.311728001,0.159730912,0.127497196,0.536840915,0.296011925,0.130625963,0.150228024,0.132784128,0.137723923,0.122600079,0.128021955,0.192172051,0.487891912,0.315736055,0.124335051,0.128042936,0.111763955
2.1e-05,0.143911839,1.080180883,1.184036016,2.765305996,2.919788837,0.836368799,0.927812815,0.65574789,0.815798998,3.114842892,2.935767889,3.015538931,2.599762917,2.75198698,1.384567022,1.511968851,0.264063835,0.376022816,0.391684055,0.180620909,0.243812084,0.304386139,1.215195895,0.165543079,0.170461893,0.179075003,0.232110977,0.439776182,0.112013817,0.256223201,0.327932835,1.240018129,0.167801857,0.095750094
2e-05,0.159922838,0.888122797,1.071699858,1.735999823,1.887934923,0.618826866,0.703748941,0.432314873,0.599920988,2.263898849,2.039778948,2.15168786,1.54398489,1.703693867,1.318666935,1.495898008,0.255886793,0.407899857,0.17642808,0.186511993,0.269295931,0.430544138,0.225317955,0.192014933,0.303779125,0.224119901,0.247977019,0.192021131,0.103827953,0.367950917,0.42419815,0.207795859,0.184241056,0.263752937
3e-05,0.140641212,1.036748171,1.148761988,1.628941059,1.778667212,0.631484985,0.772737026,0.436702013,0.615393162,1.928675175,1.756738186,1.89281106,1.479631186,1.61285615,1.333644152,1.496194124,0.265808105,0.399625063,0.170893908,0.194782972,0.405263186,0.296895981,0.145987034,0.149309873,0.127797127,0.171936989,0.258983851,0.215768099,0.157343864,0.376024962,0.347432136,0.116662026,0.165811062,0.114143848
2e-05,0.168179989,0.98260498,1.120141983,1.814600945,1.946385145,0.616274118,0.750378132,0.417892933,0.535984993,2.04608202,1.92820096,2.031885147,1.681071997,1.819134951,1.560246944,1.697332144,0.272218943,0.40025115,0.14567399,0.198381185,0.366330862,0.577641964,0.120825053,0.133528948,0.113600015,0.11788106,0.232071161,0.135733843,0.214393139,0.369763851,0.577190161,0.121802807,0.127250194,0.085500002
3.81e-05,0.12729311,0.814518929,0.953360081,1.543455124,1.679381132,0.565041065,0.663404942,0.383430004,0.543359041,2.027985096,1.863451958,1.991328001,1.383538008,1.563133001,1.151087999,1.303488016,0.175022125,0.303369045,0.208407879,0.181611061,0.249477864,0.33656907,0.232450009,0.159917116,0.319996834,0.164533138,0.176075935,0.239989996,0.120045901,0.289955139,0.350127935,0.259644985,0.116248131,0.311946869
2e-05,0.183515072,0.993580103,1.131383181,1.796000957,1.945544958,0.601835012,0.753518105,0.385739088,0.569813967,2.049520969,1.921563148,2.028434992,1.646615982,1.785600185,1.505582094,1.673642159,0.169834137,0.321479082,0.215904951,0.216095924,0.391745091,0.512001991,0.141033888,0.149384975,0.125562191,0.127957821,0.13796401,0.248334885,0.183704138,0.377865076,0.542258978,0.111958026,0.159944773,0.082890034
2e-05,0.135909081,1.423985004,1.559677124,2.095776081,2.231827974,0.663816929,0.790367126,0.480035067,0.631740093,2.479830027,2.271924019,2.375886917,1.936007977,2.07169795,1.8079741,1.954451084,0.24000597,0.392318964,0.240029097,0.183781862,0.760168075,0.383989096,0.128033877,0.159768104,0.176147938,0.207906008,0.256409883,0.239421129,0.158627033,0.769309998,0.39477396,0.117246866,0.160130024,0.144058943
2.1e-05,0.119807005,1.082828045,1.255555868,1.781203032,1.914230824,0.716748953,0.855482817,0.51166296,0.667279005,2.087795019,1.951817036,2.047062874,1.648928881,1.759730816,1.514830828,1.634707928,0.367781878,0.487838984,0.143881082,0.205085993,0.366079092,0.432002783,0.134098053,0.132274151,0.170614004,0.135977983,0.368031979,0.179440021,0.188203812,0.400073051,0.37915206,0.125022888,0.154500008,0.13283205
2.1e-05,0.151899099,1.031939983,1.15563798,1.688806057,1.824234009,0.507369041,0.640112877,0.345405102,0.490910053,1.975946903,1.840220928,1.92802,1.479968071,1.592016935,1.328150988,1.504029989,0.174583912,0.304060936,0.17082119,0.161963939,0.524570942,0.296211005,0.151817083,0.208837986,0.151414871,0.135725975,0.152161837,0.186849117,0.149202824,0.515525103,0.348392009,0.087986946,0.232217074,0.103785991
2e-05,0.127939939,1.111722946,1.231740952,1.69538784,1.831362963,0.527890921,0.663946867,0.35984993,0.51176405,1.943958998,1.815438986,1.911340952,1.551811934,1.663332939,1.44794488,1.591570854,0.192039967,0.327946901,0.167809963,0.168040991,0.583832025,0.336221934,0.103867054,0.143575906,0.120051146,0.128520012,0.200006962,0.183817149,0.152182817,0.567794085,0.359829902,0.071762085,0.168030024,0.079977989
2.1e-05,0.135872126,0.767718077,0.919615984,1.36118412,1.494124174,0.495676041,0.607881069,0.320187092,0.463777065,1.599927187,1.472113132,1.575997114,1.231935024,1.364938021,1.05609107,1.192047119,0.151684999,0.288035154,0.168502093,0.175488949,0.272042036,0.288372993,0.175843954,0.129249096,0.110929012,0.127814055,0.152163028,0.175741911,0.144104004,0.311734915,0.272431135,0.172890902,0.129186153,0.08187294
2.12e-05,0.159888029,0.72799921,0.895651102,1.951975107,2.087957144,0.495737076,0.621733189,0.322482109,0.439892054,2.184974194,2.064110994,2.175850153,1.608066082,1.783851147,1.137366056,1.236874104,0.183982134,0.340053082,0.138499975,0.173254967,0.232262134,0.409366846,0.470700026,0.343909025,0.112135887,0.1208632,0.180165053,0.099838972,0.181841135,0.273917913,0.341223002,0.546977043,0.304105997,0.087893009
2.1e-05,0.126878023,0.758219957,0.896125078,1.352169991,1.490760088,0.480200052,0.579800129,0.359952927,0.520107985,1.591848135,1.48001194,1.595381021,1.240749121,1.372977018,1.064173937,1.216109037,0.144104958,0.264096022,0.215847969,0.120247125,0.278019905,0.30595398,0.176575184,0.11142087,0.127841949,0.111836195,0.137217999,0.256011963,0.059692144,0.316324949,0.319983959,0.156867981,0.11778307,0.104620933
2.19e-05,0.140388012,0.929140091,1.06410408,2.071969032,2.224247932,0.414103031,0.568120956,0.313616991,0.456245899,2.359839916,2.192332029,2.312538862,1.800282001,1.976259947,1.536362886,1.711195946,0.136537075,0.25611186,0.177079916,0.10048604,0.51503706,0.607222795,0.263919115,0.271687031,0.120362997,0.167507887,0.115723848,0.200134039,0.111875057,0.495983124,0.647091866,0.265064001,0.247987985,0.08829093
2.1e-05,0.143743038,1.031772137,1.184113026,1.823919058,1.977231979,0.600039005,0.727885008,0.46401906,0.623877048,2.094027996,1.959925175,2.079739094,1.655973196,1.79452014,1.343913078,1.535881996,0.271965027,0.415661097,0.192054033,0.136019945,0.431733132,0.312140941,0.312060118,0.167945862,0.136006117,0.134102821,0.271918059,0.208215951,0.10400796,0.456228018,0.35176897,0.258638144,0.182711839,0.102507115
