. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - I down,I - e down,e-5 down,5 - r down,r - o down,o - a down,a - n down,n - l down,. = t up,t - I up,I - e up,e - 5 up,5 - r up,r - o  up,o - a up,a - n up
1.91E-05,0.063930988,0.75199914,0.843424082,1.15213418,1.27998805,0.351889133,0.464015007,0.278000116,0.36154604,1.329606056,1.242775202,1.326291084,1.055908203,1.112137079,0.97688508,1.087980032,0.144123077,0.256177187,0.133877039,0.073889017,0.400110006,0.224885941,0.079023123,0.096225977,0.090641022,0.086830854,0.192246199,0.105368853,0.102468967,0.379409075,0.24455595,0.024157047,0.167850971,0.046303034
1.91E-05,0.088831902,0.831830025,0.935704947,1.236264944,1.36975193,0.367985964,0.48784399,0.288341999,0.38758111,1.423778057,1.327977896,1.426549911,1.137603045,1.215890884,1.063951015,1.175890923,0.159833908,0.263927937,0.128508091,0.079643965,0.463844061,0.232120991,0.073652029,0.0986619,0.091712952,0.095800161,0.175096035,0.123653173,0.10026288,0.447860956,0.240185976,0.039999962,0.153861046,0.056797981
2.22E-05,0.085397005,0.781455994,0.864731073,1.164973974,1.293239117,0.357467175,0.449500084,0.277487993,0.382629156,1.351083994,1.245290995,1.346443176,1.064057112,1.133490086,1.005397081,1.109358072,0.149061203,0.298437119,0.12842679,0.079979181,0.423988819,0.223941088,0.05866003,0.100916862,0.08031702,0.105792999,0.213040113,0.084192038,0.066870928,0.415230989,0.244626999,0.024132013,0.159749031,0.05320406
2.00E-05,0.071890116,0.727838993,0.840631008,1.28789711,1.423383951,0.335962057,0.474358082,0.199831963,0.307549953,1.521136045,1.384083986,1.479862928,1.175961018,1.247868061,1.105619907,1.207351923,0.119974136,0.22476697,0.079857826,0.136130095,0.391876936,0.377780914,0.07034111,0.111936092,0.096186876,0.137052059,0.152876854,0.082782984,0.166808128,0.366272926,0.366720915,0.040516138,0.17551589,0.056478977
2.00E-05,0.087694883,0.751837969,0.840181828,1.090500832,1.225008011,0.34419179,0.456034899,0.294392824,0.367824793,1.32434988,1.200140953,1.303647995,1.008379936,1.063655853,0.936182976,1.040012836,0.159454823,0.297627926,0.134938002,0.049798965,0.407646179,0.184345007,0.07219696,0.082120895,0.109640121,0.124208927,0.209933043,0.070196867,0.088210106,0.384146929,0.199831009,0.023643017,0.161352158,0.078639984
2.00E-05,0.09595418,0.847972155,0.91992712,1.207593203,1.335676193,0.378776073,0.495920181,0.287898064,0.374613047,1.368026018,1.311859131,1.404999971,1.144617081,1.221607208,1.056034088,1.175875187,0.144052029,0.239928007,0.143846035,0.09087801,0.469196081,0.208061934,0.088582993,0.062976122,0.104265928,0.056166887,0.143973827,0.13468504,0.121307135,0.424006939,0.255948067,0.045732021,0.114068985,0.069323778
2.00E-05,0.071634054,0.680875063,0.752027035,1.056038141,1.176136971,0.282540083,0.375955105,0.228611946,0.311975956,1.296226025,1.160191059,1.259019136,0.976038933,1.031700134,0.896060944,0.993895054,0.103790045,0.199784994,0.124821901,0.053928137,0.39833498,0.215185881,0.079977989,0.079999208,0.104152918,0.136034966,0.12815094,0.112190962,0.063979149,0.37607193,0.241868019,0.03780508,0.144436836,0.082882166
2.00E-05,0.095686913,0.778723955,0.823928118,1.187920094,1.321032047,0.32801199,0.415739059,0.25672698,0.339690924,1.375536919,1.304531097,1.35985899,1.120773077,1.176446915,0.984200001,1.104733944,0.127542019,0.239840031,0.129184961,0.071285009,0.450711966,0.205476046,0.136573076,0.067147017,0.116611004,0.071005821,0.144153118,0.099850893,0.076048136,0.408189058,0.280805826,0.071712971,0.144585133,0.038826942
2.10E-05,0.079650879,0.78407383,0.863822937,1.152345896,1.285542965,0.327885866,0.415927887,0.254994869,0.331436872,1.400000811,1.255749941,1.352577925,1.063869953,1.127815008,0.99170804,1.087677002,0.127581835,0.215842962,0.127413034,0.072890997,0.456187963,0.207634211,0.072161913,0.088475943,0.103404045,0.14425087,0.136192083,0.11559391,0.084491014,0.44789505,0.223854065,0.040138006,0.157727957,0.06703496
2.00E-05,0.079055071,0.74327898,0.831440926,1.103398085,1.247184038,0.351315975,0.463193893,0.272043943,0.366997957,1.347356081,1.230686903,1.311290026,1.030957937,1.097822905,0.951026917,1.054919958,0.151294947,0.287091017,0.120748997,0.079272032,0.391963005,0.207747936,0.079931021,0.072440147,0.127288818,0.116669178,0.208035946,0.07990694,0.096195936,0.368247032,0.223479033,0.042902946,0.149361134,0.064105988
2.10E-05,0.071751833,0.783962011,0.879856825,1.18637085,1.295686007,0.415957928,0.527863979,0.255540848,0.327514887,1.334615946,1.247967005,1.338742971,1.071694851,1.143901825,0.999953985,1.095683813,0.103992939,0.191862822,0.151547909,0.16041708,0.368004084,0.215991974,0.071740866,0.114675999,0.061596155,0.086648941,0.120110989,0.135652065,0.200349092,0.351992846,0.215826988,0.048218012,0.151784182,0.043056965
