. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t-l down,l - e down,e-5 down,5 - r down,r - o down,o - a down,a - n down,n - l down,. - t up,t - l up,l - e up,e - 5 up,5 - r up,r - o up,o - a up,a - n up
2.00E-05,0.095845938,0.767949104,0.887969971,1.255980015,1.375856876,0.43186903,0.503854036,0.351986885,0.455525875,1.567889929,1.387312889,1.471883059,1.135617018,1.231858015,0.991949081,1.087874889,0.190155029,0.295900106,0.161831856,0.079882145,0.336080074,0.223999977,0.143667936,0.120362997,0.131332874,0.18057704,0.200054169,0.159625769,0.048328161,0.384115934,0.199904919,0.143983126,0.143998861,0.096026182
2.10E-05,0.112076998,0.766077042,0.86590004,1.232473135,1.337958097,0.518095016,0.628738165,0.407913208,0.52384901,1.504155159,1.332001209,1.415924072,1.104155064,1.216080189,0.976313114,1.066567183,0.250756979,0.375851154,0.157156229,0.110181808,0.247982025,0.210236073,0.127841949,0.128318071,0.099528074,0.17215395,0.263774157,0.147997856,0.104889154,0.237161875,0.200667143,0.149513006,0.121877909,0.077965975
1.98E-05,0.111922979,0.680312872,0.789994001,1.160163879,1.289448023,0.400316,0.525058985,0.295979023,0.405107021,1.4481709,1.272136927,1.360008955,1.063992023,1.172966003,0.912293911,0.99176383,0.152213812,0.256053925,0.143765211,0.104336977,0.279996872,0.231981039,0.151698112,0.096171856,0.111973047,0.176033974,0.144130945,0.149053097,0.119951963,0.264935017,0.201769829,0.181202173,0.116482019,0.070560932
2.10E-05,0.111999035,0.840307951,0.976238966,1.449008942,1.544947147,0.544281006,0.640220165,0.352322102,0.457793951,1.744516134,1.554531097,1.644289017,1.320122004,1.444406986,1.192304134,1.296187162,0.168352127,0.314033031,0.183969975,0.191958904,0.296026945,0.351996183,0.127817869,0.128886938,0.105522156,0.189985037,0.202033997,0.14376092,0.182426214,0.336018801,0.319948196,0.148219824,0.100540161,0.099341869
2.10E-05,0.103884935,0.602672815,0.688018799,1.047904015,1.16890502,0.360327005,0.455909014,0.255947828,0.354090929,1.313060999,1.143965006,1.231858015,0.951915026,1.068393946,0.823982,0.918885946,0.15208292,0.26995182,0.103864908,0.104379177,0.24234581,0.221309185,0.127933025,0.095988989,0.096060991,0.169095993,0.166066885,0.084139109,0.101818085,0.232109785,0.230867147,0.149507999,0.100511074,0.062952995
2.00E-05,0.127919912,0.816038847,0.919735909,1.224114895,1.359740019,0.460281849,0.560316801,0.328037024,0.43193388,1.49095583,1.328003883,1.415757895,1.148846865,1.242005825,1.039992809,1.127915859,0.202090025,0.295914888,0.125946999,0.132244825,0.355756998,0.223953962,0.108854055,0.07526803,0.103888988,0.162951946,0.167994976,0.136018991,0.128382921,0.359419107,0.208179951,0.114089966,0.117734194,0.056017876
2.00E-05,0.111767054,0.776263952,0.880097866,1.208508968,1.295904875,0.424219847,0.543917894,0.343953848,0.447819948,1.463726997,1.280182838,1.368109941,1.092355967,1.183837891,0.984223843,1.07208395,0.216146946,0.320106983,0.127806902,0.080265999,0.352044106,0.20795989,0.108132124,0.116153002,0.07167387,0.183544159,0.20833993,0.127712965,0.096097946,0.336179972,0.191986084,0.111753941,0.112066984,0.072205067
2.10E-05,0.079715014,0.832049847,0.911842823,1.239977837,1.37587595,0.575999975,0.655769825,0.436951876,0.511951923,1.511972904,1.343963861,1.431881905,1.159689903,1.251652002,1.055970907,1.135268927,0.32087183,0.415890932,0.116080046,0.1390481,0.256049871,0.223921061,0.103718996,0.080287933,0.103986025,0.168009043,0.336175919,0.096060991,0.143817902,0.256072998,0.223426104,0.116383076,0.124223948,0.056005955
2.00E-05,0.095949888,0.584026814,0.663929939,1.000029802,1.111920834,0.368068933,0.471942902,0.312101841,0.383519888,1.280032873,1.128016949,1.207545996,0.927992821,1.031773806,0.800066948,0.871938944,0.179138899,0.255963802,0.132962942,0.055967093,0.21595788,0.216040134,0.127925873,0.072036982,0.127987146,0.152015924,0.160013914,0.127556086,0.088423014,0.191987038,0.208009005,0.159834862,0.080147028,0.095625162
2.22E-05,0.127902031,0.879961014,0.962496042,1.495815992,1.610610008,0.663972139,0.75186801,0.53600812,0.608012199,1.77593708,1.627593994,1.687856197,1.407983065,1.511851072,1.23208499,1.359905005,0.264082193,0.383890152,0.271925926,0.12796402,0.215988874,0.352123976,0.175898075,0.087832928,0.131778002,0.148343086,0.255988121,0.224122047,0.14385581,0.210628033,0.397408962,0.151946068,0.098758936,0.077246189
