. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
2.00E-05,0.087953091,1.271876097,1.367026091,1.736026049,1.831874132,1.031980038,1.119917154,0.736711979,0.818278074,2.200015068,2.032889128,2.087737083,1.616859198,1.7039361,1.528079987,1.591914177,0.295869112,0.33633399,0.440842867,0.295268059,0.239896059,0.25620389,0.088779211,0.119166851,0.296863079,0.16712594,0.248380899,0.481944084,0.30163908,0.247108936,0.224888086,0.112021923,0.127938032,0.255862951
2.19E-05,0.083498001,0.8820889,0.974298954,1.330528021,1.398075104,0.510365009,0.630293131,0.406184912,0.486162901,1.598469973,1.414606094,1.470114946,1.198512077,1.278420925,1.126429081,1.214246035,0.283011913,0.350291967,0.123172998,0.104180098,0.37172389,0.244340181,0.072082996,0.132015944,0.084078074,0.183863878,0.266793966,0.135870934,0.14413023,0.344005823,0.239947081,0.064174891,0.119654179,0.072039843
2.10E-05,0.103875875,0.993863821,1.079857826,1.463971853,1.567837,0.594432831,0.693517923,0.479587793,0.551868916,1.88792181,1.663497925,1.708627939,1.312170982,1.392231941,1.258868933,1.335860968,0.378751993,0.460523844,0.1008358,0.114845037,0.39943099,0.265005112,0.05330205,0.151800871,0.199526072,0.224423885,0.356647968,0.091345072,0.141649008,0.386339903,0.256003141,0.056370974,0.175605059,0.140790939
2.10E-05,0.083913088,0.899964094,1.003898144,1.420026064,1.483904123,0.523761034,0.619725943,0.40625596,0.491953135,1.70796299,1.515836954,1.562510967,1.291989088,1.379965067,1.204020977,1.313243151,0.299628973,0.387928009,0.106626987,0.117505074,0.37620306,0.304056883,0.087968111,0.128036976,0.09581089,0.192126036,0.304014921,0.104025126,0.127772808,0.384172201,0.309345007,0.066721916,0.103939056,0.078606844
1.79E-05,0.094408035,0.832282066,0.913546085,1.313822985,1.37612009,0.526012897,0.624001026,0.410564899,0.472165108,1.608263016,1.424904108,1.472136021,1.180176973,1.264125109,1.108076096,1.184273005,0.304254055,0.400175095,0.106310844,0.115447998,0.306269169,0.275794029,0.072100878,0.133646011,0.111081123,0.183358908,0.305767059,0.071990013,0.151835918,0.289545059,0.270726919,0.079852104,0.111994982,0.09601593
1.81E-05,0.083269119,0.922960997,1.019217014,1.419332027,1.491230011,0.587382078,0.675048113,0.42699194,0.499248028,1.827422142,1.627271175,1.699241161,1.266891003,1.38043499,1.197311163,1.28076601,0.307340145,0.403202057,0.119651794,0.160390139,0.335578918,0.274350166,0.06957984,0.152441025,0.207939148,0.200150967,0.319932938,0.096045971,0.175800085,0.344168901,0.261548996,0.09966898,0.110795021,0.20801115
2.00E-05,0.08416605,0.900246143,0.988162041,1.380258083,1.467838049,0.476026058,0.580187082,0.356018066,0.428251982,1.788197041,1.556229115,1.612591982,1.23073101,1.300152063,1.172266006,1.235569954,0.236310959,0.332159042,0.119707108,0.120007992,0.424220085,0.272019863,0.058465004,0.149527073,0.175971031,0.231967926,0.247992992,0.096092939,0.151935101,0.407974958,0.247407913,0.064582109,0.167685986,0.144753933
1.98E-05,0.103884935,1.107838869,1.191864967,1.65693593,1.759820938,0.56378293,0.658468962,0.459867954,0.527833939,2.015902996,1.789722919,1.823691845,1.527555943,1.607816935,1.439904928,1.540224791,0.327967882,0.42637682,0.131900072,0.103914976,0.544055939,0.332066059,0.087651014,0.129379988,0.132786989,0.226180077,0.322491884,0.101457119,0.130635023,0.533396006,0.348359823,0.067592144,0.152004004,0.063870907
2.12E-05,0.104048014,0.936024189,1.031891108,1.415908098,1.495802164,0.576033115,0.69591403,0.450592041,0.527911186,1.727991104,1.527976036,1.583447218,1.282203197,1.375887156,1.199984074,1.272386074,0.352293015,0.458947182,0.098299026,0.125441074,0.359991074,0.263959885,0.082219124,0.133704901,0.112067938,0.200015068,0.354899168,0.068964005,0.168002844,0.335977077,0.240494967,0.103501081,0.119915009,0.087645054
2.10E-05,0.07592392,0.839913845,0.943738937,1.327860832,1.431704044,0.567878008,0.687798023,0.431865931,0.503588915,1.665719986,1.479907036,1.527763844,1.18365097,1.279774904,1.103870869,1.188709974,0.311872959,0.375627041,0.119992971,0.136012077,0.272035837,0.263957024,0.079780102,0.144209862,0.152046204,0.18581295,0.299703121,0.127961874,0.184209108,0.255940914,0.244971037,0.09106493,0.15192914,0.096059799
2.00E-05,0.087787151,0.883693933,0.983476162,1.367992163,1.431868076,0.543992043,0.639915943,0.41801405,0.487746954,1.7520051,1.567966938,1.631885052,1.215975046,1.311913013,1.144001961,1.232123137,0.328037024,0.399909019,0.089977026,0.125977993,0.339701891,0.260308027,0.071973085,0.152017117,0.199974775,0.184038162,0.312121868,0.087837934,0.152168989,0.343560219,0.248646975,0.079789877,0.119955063,0.200016975
1.91E-05,0.079935074,1.167989016,1.2798841,1.871836185,1.991837978,0.903994083,1.03987813,0.520015001,0.631939173,2.207938194,2.031984091,2.079680204,1.741747141,1.815890074,1.608415127,1.727916002,0.336050987,0.407936096,0.183964014,0.383979082,0.263994932,0.440426111,0.133332014,0.130089045,0.160147905,0.175954103,0.328001022,0.224003077,0.407938957,0.24000597,0.448031902,0.087974072,0.175947905,0.087842226
1.79E-05,0.072148085,0.912214041,1.008091927,1.472183943,1.560908079,0.54717207,0.648083925,0.431941032,0.49612689,1.800209999,1.583990097,1.660917997,1.328356028,1.416061878,1.247996092,1.33293891,0.33604002,0.414151907,0.095901012,0.115231037,0.365041971,0.335782051,0.080359936,0.143827915,0.111806154,0.216219902,0.342003822,0.081974983,0.151957035,0.360008001,0.324846983,0.083122969,0.144846201,0.100009918
1.81E-05,0.088190079,1.127931118,1.200114012,1.872209072,1.99209404,0.840211153,0.944126129,0.560308933,0.656131983,2.248161077,2.056188107,2.096115112,1.704316139,1.808210135,1.560167074,1.708986044,0.461039066,0.520128012,0.099269867,0.27990222,0.287719965,0.432235956,0.144149065,0.167892933,0.183979034,0.191972971,0.431937933,0.136003971,0.287994146,0.255987883,0.508872032,0.099224091,0.183883905,0.104021072
